Specie (common name;Specie (latin name);Functional group;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Madeiran sardinella;Sardinella maderensis;Large benthopelagics;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.08;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31
Oceanic whitetip shark;Carcharhinus longimanus;Large benthopelagics;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.08;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31
Red porgy;Pagrus pagrus;Large benthopelagics;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.08;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31
European argentine;Argentina sphyraena;Large demersals;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.0099;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
European conger;Conger conger;Large demersals;0.001-0.0033 ;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
European eel;Anguilla anguilla;Large demersals;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0035;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0035;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
European pilchard;Sardina pilchardus;Large demersals;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0036;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
West african spanish mackerel;Scomberomorus tritor;Large demersals;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0037;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
African moonfish ;(selene dorsalis);Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Atlantic binito ;(Sarda sarda);Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Atlantic pomfret ;Brama brama;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Atlantic saury ;Scomberesox saurus saurus;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Bigeye thresher ;Alopias superciliosus;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
